country,max_score,entropy,correct,model
Brazil,0.11280736,3.418691,0.48,clip
Canada,0.13781224,3.4093313,0.52,clip
China,0.17621939,3.4388714,0.8571428571428571,clip
Ethiopia,0.19645394,3.3365207,0.6,clip
Germany,0.1546435,3.3919365,0.6666666666666666,clip
India,0.11089197,3.454226,0.36,clip
Iran,0.19851968,3.2916868,0.75,clip
Nigeria,0.12601426,3.4432597,0.4,clip
Rwanda,0.16376571,3.455183,0.64,clip
Turkey,0.25655434,3.451872,0.68,clip
USA,0.2257801,3.4771318,0.64,clip
Brazil,0.09380379,3.6446612,0.6206896551724138,llava
Canada,0.089110546,3.6031098,0.5,llava
China,0.1070049,3.4424725,0.7391304347826086,llava
Ethiopia,0.20248781,3.5436919,0.5517241379310345,llava
Germany,0.10489969,3.4604905,0.43478260869565216,llava
India,0.07133315,3.8180285,0.26666666666666666,llava
Iran,0.06547429,3.7851992,0.18518518518518517,llava
Nigeria,0.09240852,3.7128236,0.3103448275862069,llava
Rwanda,0.12715594,3.9011133,0.0,llava
Turkey,0.17475212,3.659342,0.39285714285714285,llava
USA,0.10054498,3.7240777,0.14285714285714285,llava
