facet,model,max_score_mean,max_score_std,frac_positive_mean,frac_positive_std,entropy_mean,entropy_std
clothing,clip,0.135,0.1351,0.5075,0.2741,2.6149,0.9566
clothing,internvl2,0.0546,0.0753,0.5581,0.2221,2.7899,0.6591
clothing,llava,0.0863,0.1065,0.6288,0.3001,3.0763,0.9469
clothing,qwen2vl,0.1141,0.1524,0.6367,0.3491,2.766,1.1853
drink,clip,0.1685,0.1746,0.577,0.2729,2.8158,0.866
drink,internvl2,0.111,0.1642,0.5158,0.2896,2.5979,0.9176
drink,llava,0.1488,0.2018,0.8006,0.2244,3.3941,1.0172
drink,qwen2vl,0.1303,0.1613,0.6442,0.302,2.7316,1.0459
food,clip,0.1427,0.1616,0.6019,0.2662,2.9272,0.8754
food,internvl2,0.0716,0.122,0.5332,0.3136,2.6902,0.9549
food,llava,0.1127,0.0994,0.6457,0.3673,2.9263,1.2596
food,qwen2vl,0.1086,0.15,0.5503,0.3337,2.6498,1.1037
rituals,clip,0.1806,0.135,0.6241,0.218,3.0355,0.6239
rituals,internvl2,0.067,0.1056,0.6243,0.2595,2.9911,0.6381
rituals,llava,0.1116,0.1228,0.6723,0.3142,3.0859,1.0313
rituals,qwen2vl,0.1168,0.1275,0.6875,0.3138,2.9603,0.9156
traditions,clip,0.1501,0.1333,0.5618,0.2587,2.8198,0.8813
traditions,internvl2,0.0833,0.1194,0.7009,0.2416,3.0741,0.6633
traditions,llava,0.1073,0.131,0.7142,0.2903,3.1067,1.1591
traditions,qwen2vl,0.076,0.0914,0.72,0.3127,2.9664,1.0663
