model,country,n,max_score,entropy
clip,Brazil,25,0.1076,2.6684
clip,Canada,25,0.1348,3.1224
clip,China,21,0.1476,2.913
clip,Ethiopia,25,0.1619,2.6064
clip,Germany,21,0.1625,3.1527
clip,India,25,0.0983,2.83
clip,Iran,24,0.165,2.6764
clip,Nigeria,25,0.1256,2.3372
clip,Rwanda,25,0.1512,2.9511
clip,Turkey,25,0.2461,3.1338
clip,USA,25,0.2161,3.0137
llava,Brazil,25,0.1013,3.4288
llava,Canada,25,0.0921,2.9258
llava,China,21,0.1116,3.2129
llava,Ethiopia,25,0.1923,3.3176
llava,Germany,21,0.1117,2.5989
llava,India,25,0.0748,3.4498
llava,Iran,23,0.0722,3.32
llava,Nigeria,25,0.098,2.9939
llava,Rwanda,25,0.1222,3.5076
llava,Turkey,25,0.1784,3.1048
llava,USA,25,0.0982,2.4012
qwen2vl,Brazil,24,0.1162,3.114
qwen2vl,Canada,24,0.139,2.9386
qwen2vl,China,20,0.0394,2.5115
qwen2vl,Ethiopia,25,0.1831,2.5498
qwen2vl,Germany,21,0.1455,2.9495
qwen2vl,India,25,0.0674,3.0807
qwen2vl,Iran,23,0.0905,2.632
qwen2vl,Nigeria,24,0.12,2.5254
qwen2vl,Rwanda,24,0.1151,2.5176
qwen2vl,Turkey,25,0.0915,3.1163
qwen2vl,USA,24,0.083,2.97
internvl2,Brazil,25,0.0305,2.7533
internvl2,Canada,25,0.0449,2.9762
internvl2,China,21,0.091,2.7267
internvl2,Ethiopia,25,0.122,2.9168
internvl2,Germany,21,0.1491,2.5804
internvl2,India,25,0.0812,2.766
internvl2,Iran,23,0.0969,2.7189
internvl2,Nigeria,25,0.042,2.9432
internvl2,Rwanda,25,0.0754,2.9898
internvl2,Turkey,25,0.1083,2.7754
internvl2,USA,25,0.0352,2.911
