model,facet,n,max_score,entropy,frac_pos
clip,clothing,46,0.135,2.6149,0.5075
clip,drink,55,0.1685,2.8158,0.577
clip,food,55,0.1427,2.9272,0.6019
clip,rituals,55,0.1806,3.0355,0.6241
clip,traditions,55,0.1501,2.8198,0.5618
llava,clothing,46,0.0863,3.0763,0.6288
llava,drink,55,0.1488,3.3941,0.8006
llava,food,55,0.1127,2.9263,0.6457
llava,rituals,54,0.1116,3.0859,0.6723
llava,traditions,55,0.1073,3.1067,0.7142
qwen2vl,clothing,45,0.1141,2.766,0.6367
qwen2vl,drink,55,0.1303,2.7316,0.6442
qwen2vl,food,54,0.1086,2.6498,0.5503
qwen2vl,rituals,51,0.1168,2.9603,0.6875
qwen2vl,traditions,54,0.076,2.9664,0.72
internvl2,clothing,46,0.0546,2.7899,0.5581
internvl2,drink,55,0.111,2.5979,0.5158
internvl2,food,55,0.0716,2.6902,0.5332
internvl2,rituals,54,0.067,2.9911,0.6243
internvl2,traditions,55,0.0833,3.0741,0.7009
