country,clothing,drink,food,rituals,traditions
Brazil,0.055299539170506916,0.1336405529953917,0.4470046082949309,0.055299539170506916,0.3087557603686636
Canada,0.04,0.125,0.44,0.055,0.34
China,0.008695652173913044,0.08695652173913043,0.2956521739130435,0.17391304347826086,0.43478260869565216
Ethiopia,0.09,0.23,0.32,0.13,0.23
Germany,0.009708737864077669,0.17475728155339806,0.4174757281553398,0.1262135922330097,0.27184466019417475
India,0.1583710407239819,0.05203619909502263,0.2420814479638009,0.36425339366515835,0.1832579185520362
Iran,0.034782608695652174,0.06956521739130435,0.4608695652173913,0.1565217391304348,0.2782608695652174
Nigeria,0.1023391812865497,0.029239766081871343,0.3684210526315789,0.2807017543859649,0.21929824561403508
Rwanda,0.06077348066298342,0.09392265193370165,0.39779005524861877,0.11049723756906077,0.3370165745856354
Turkey,0.04700854700854701,0.1794871794871795,0.4017094017094017,0.14102564102564102,0.23076923076923078
USA,0.10461538461538461,0.12923076923076923,0.42153846153846153,0.09538461538461539,0.24923076923076923
