layer,recovery_all,recovery_std,recovery_shortcut,recovery_nuanced
1,0.06896,0.14211,0.04688,0.09059
2,0.06835,0.14098,0.04685,0.08942
3,0.06884,0.14187,0.04703,0.09021
4,0.06815,0.14118,0.0465,0.08937
5,0.06743,0.14093,0.04615,0.08828
6,0.06688,0.14106,0.04549,0.08784
7,0.06642,0.14011,0.04529,0.08712
8,0.06418,0.13931,0.04324,0.08469
9,0.0641,0.13898,0.04412,0.08367
10,0.06162,0.13737,0.04325,0.07961
11,0.06017,0.13603,0.04293,0.07707
12,0.05704,0.13457,0.04168,0.0721
13,0.0523,0.12853,0.0387,0.06562
14,0.05093,0.1271,0.03741,0.06419
15,0.04896,0.12523,0.03651,0.06117
16,0.04438,0.11791,0.03404,0.05452
17,0.03944,0.11416,0.03099,0.04772
18,0.04009,0.1152,0.03259,0.04744
19,0.03003,0.10576,0.02857,0.03146
20,0.02245,0.09918,0.02363,0.02129
21,0.02096,0.09893,0.02425,0.01774
22,0.02125,0.09861,0.02398,0.01856
23,0.02117,0.0983,0.02458,0.01784
24,0.02089,0.09869,0.02422,0.01762
25,0.01258,0.09419,0.0209,0.00442
26,0.0123,0.09369,0.0206,0.00417
27,0.0125,0.09342,0.02154,0.00363
28,0.0124,0.09277,0.02128,0.0037
29,0.01214,0.09229,0.02087,0.00357
30,0.00565,0.04348,0.00951,0.00187
31,0.00343,0.023,0.00545,0.00144
32,0.0,0.0,0.0,0.0
